block_type,grid,epoch,acc_row,acc_col,acc_real_4dir,acc_same_row_4,acc_shuffle_row,delta_direction,order_utilization
gru,8,1,0.3337,0.3254,0.3531,0.3491,0.3279,0.0040000000000000036,0.005799999999999972
gru,8,2,0.4002,0.4065,0.435,0.4211,0.3915,0.013900000000000023,0.008699999999999986
gru,8,3,0.4658,0.4593,0.4996,0.4963,0.4466,0.0032999999999999696,0.019199999999999995
gru,8,4,0.5033,0.4876,0.5542,0.5485,0.4774,0.005700000000000038,0.02589999999999998
gru,8,5,0.5226,0.5158,0.5511,0.5607,0.494,-0.009599999999999942,0.02859999999999996
gru,8,6,0.5587,0.5561,0.6119,0.6063,0.5263,0.005600000000000049,0.032399999999999984
gru,8,7,0.6052,0.5844,0.6334,0.643,0.5535,-0.009600000000000053,0.05169999999999997
gru,8,8,0.6095,0.5901,0.6238,0.6446,0.5492,-0.02079999999999993,0.06030000000000002
gru,8,9,0.6359,0.6084,0.6497,0.6412,0.5707,0.008500000000000063,0.06520000000000004
gru,8,10,0.6386,0.6089,0.6627,0.6673,0.5749,-0.0046000000000000485,0.06369999999999998
gru,8,11,0.652,0.6328,0.6741,0.6755,0.5942,-0.0013999999999999568,0.057800000000000074
gru,8,12,0.6524,0.6362,0.6822,0.6834,0.5864,-0.0011999999999999789,0.06599999999999995
gru,8,13,0.6565,0.6474,0.6884,0.687,0.6061,0.0013999999999999568,0.0504
gru,8,14,0.671,0.6589,0.6978,0.6947,0.61,0.0030999999999999917,0.061000000000000054
gru,8,15,0.6764,0.6592,0.7077,0.7064,0.611,0.0012999999999999678,0.06540000000000001
gru,8,16,0.6762,0.6642,0.7088,0.7101,0.6197,-0.0012999999999999678,0.056499999999999995
gru,8,17,0.6788,0.6765,0.7118,0.713,0.625,-0.0011999999999999789,0.05379999999999996
gru,8,18,0.6821,0.6823,0.7176,0.7133,0.6247,0.0042999999999999705,0.05740000000000001
gru,8,19,0.6955,0.6834,0.7225,0.7129,0.6287,0.009600000000000053,0.06679999999999997
gru,8,20,0.6873,0.6793,0.7133,0.713,0.6374,0.000300000000000078,0.049900000000000055
gru,8,21,0.6972,0.689,0.7297,0.7225,0.6411,0.007199999999999984,0.05610000000000004
gru,8,22,0.6912,0.6872,0.7215,0.7259,0.6347,-0.0043999999999999595,0.056499999999999995
gru,8,23,0.7015,0.691,0.7363,0.7355,0.6516,0.0007999999999999119,0.049900000000000055
gru,8,24,0.6973,0.6934,0.7345,0.7298,0.6517,0.0047000000000000375,0.045600000000000085
gru,8,25,0.713,0.7023,0.7418,0.7343,0.6521,0.007500000000000062,0.060899999999999954
gru,8,26,0.7035,0.7027,0.7331,0.7294,0.6472,0.0036999999999999256,0.05630000000000002
gru,8,27,0.6959,0.7057,0.73,0.7295,0.6554,0.0004999999999999449,0.04049999999999998
gru,8,28,0.7179,0.7104,0.7551,0.7438,0.6594,0.011299999999999977,0.058499999999999996
gru,8,29,0.7202,0.712,0.7456,0.742,0.6636,0.0036000000000000476,0.056599999999999984
gru,8,30,0.7197,0.7152,0.7573,0.7518,0.6608,0.005499999999999949,0.05889999999999995
gru,8,31,0.7166,0.716,0.7504,0.7358,0.6587,0.014599999999999946,0.05790000000000006
gru,8,32,0.7233,0.7211,0.7586,0.7458,0.6666,0.012800000000000034,0.056700000000000084
gru,8,33,0.7187,0.7217,0.762,0.7545,0.6699,0.007500000000000062,0.048799999999999955
gru,8,34,0.7262,0.7149,0.7527,0.7561,0.6641,-0.0033999999999999586,0.06209999999999993
gru,8,35,0.7288,0.721,0.7614,0.7579,0.6672,0.0034999999999999476,0.06159999999999999
gru,8,36,0.7188,0.7148,0.7572,0.7547,0.6652,0.0024999999999999467,0.05359999999999998
gru,8,37,0.7217,0.7252,0.7683,0.7551,0.6744,0.01319999999999999,0.04730000000000001
gru,8,38,0.7281,0.7309,0.7692,0.7621,0.6757,0.007099999999999995,0.0524
gru,8,39,0.7248,0.7247,0.7689,0.7599,0.671,0.009000000000000008,0.05379999999999996
gru,8,40,0.7346,0.7295,0.7675,0.7571,0.6778,0.010399999999999965,0.05680000000000007
gru,8,41,0.7387,0.7233,0.7665,0.766,0.6697,0.0004999999999999449,0.06900000000000006
gru,8,42,0.7333,0.7295,0.7565,0.7697,0.6698,-0.0132000000000001,0.0635
gru,8,43,0.7398,0.7371,0.7692,0.7668,0.675,0.0023999999999999577,0.06479999999999997
gru,8,44,0.7409,0.7318,0.7698,0.7695,0.6798,0.000300000000000078,0.06110000000000004
gru,8,45,0.736,0.7346,0.7693,0.7701,0.6851,-0.0008000000000000229,0.050899999999999945
gru,8,46,0.7412,0.7342,0.7741,0.7739,0.6895,0.00019999999999997797,0.05169999999999997
gru,8,47,0.7443,0.7348,0.7751,0.7734,0.6835,0.0017000000000000348,0.060799999999999965
gru,8,48,0.7448,0.7372,0.7772,0.7752,0.6921,0.0020000000000000018,0.05269999999999997
gru,8,49,0.7536,0.7301,0.7771,0.7735,0.6903,0.0036000000000000476,0.06330000000000002
gru,8,50,0.7383,0.7344,0.7749,0.7613,0.6878,0.013600000000000056,0.05049999999999999
gru,8,51,0.7421,0.7383,0.7794,0.7675,0.693,0.011900000000000022,0.04910000000000003
gru,8,52,0.7479,0.7411,0.7855,0.7783,0.6944,0.007199999999999984,0.05349999999999999
gru,8,53,0.7525,0.7428,0.7839,0.7784,0.694,0.00550000000000006,0.058499999999999996
gru,8,54,0.7528,0.7415,0.7869,0.7825,0.6937,0.0044000000000000705,0.05910000000000004
gru,8,55,0.7468,0.7494,0.7807,0.7784,0.693,0.0022999999999999687,0.05380000000000007
gru,8,56,0.7454,0.7362,0.7828,0.7747,0.6932,0.008099999999999996,0.05219999999999991
gru,8,57,0.7534,0.7505,0.79,0.7893,0.6936,0.0007000000000000339,0.059799999999999964
gru,8,58,0.7521,0.7477,0.784,0.7856,0.6951,-0.0015999999999999348,0.05699999999999994
gru,8,59,0.7505,0.7507,0.7848,0.7808,0.6964,0.0040000000000000036,0.054099999999999926
gru,8,60,0.7526,0.7479,0.7891,0.7848,0.7017,0.0042999999999999705,0.050900000000000056
gru,8,61,0.7516,0.7502,0.7899,0.7895,0.6976,0.00040000000000006697,0.05400000000000005
gru,8,62,0.7532,0.7503,0.7908,0.7856,0.6974,0.005199999999999982,0.05579999999999996
gru,8,63,0.7551,0.7587,0.7923,0.7882,0.6969,0.0040999999999999925,0.05820000000000003
gru,8,64,0.7576,0.7542,0.7965,0.7873,0.701,0.009199999999999986,0.056600000000000095
gru,8,65,0.7591,0.7573,0.7985,0.7929,0.7031,0.005599999999999938,0.05600000000000005
gru,8,66,0.757,0.7521,0.7921,0.7873,0.7003,0.0048000000000000265,0.05669999999999997
gru,8,67,0.7622,0.7591,0.797,0.7904,0.707,0.00660000000000005,0.05520000000000003
gru,8,68,0.7549,0.7585,0.7935,0.7906,0.7029,0.0029000000000000137,0.052000000000000046
gru,8,69,0.7572,0.7555,0.7912,0.7883,0.7029,0.0029000000000000137,0.054300000000000015
gru,8,70,0.7591,0.7575,0.8007,0.793,0.7073,0.007699999999999929,0.05179999999999996
gru,8,71,0.7602,0.758,0.8,0.7977,0.7072,0.0023000000000000798,0.052999999999999936
gru,8,72,0.7593,0.7571,0.7982,0.7906,0.7091,0.007600000000000051,0.05020000000000002
gru,8,73,0.762,0.7597,0.8036,0.7952,0.7049,0.008399999999999963,0.05710000000000004
gru,8,74,0.7634,0.7597,0.8021,0.7962,0.7107,0.005900000000000016,0.05269999999999997
gru,8,75,0.7637,0.7589,0.8028,0.7995,0.707,0.0032999999999999696,0.056700000000000084
gru,8,76,0.7611,0.7624,0.8066,0.8015,0.7107,0.005099999999999993,0.0504
gru,8,77,0.7644,0.7637,0.8027,0.7979,0.7105,0.0047999999999999154,0.05389999999999995
gru,8,78,0.7684,0.7639,0.8019,0.799,0.7077,0.0028999999999999027,0.060699999999999976
gru,8,79,0.768,0.764,0.8064,0.8027,0.7111,0.0037000000000000366,0.05690000000000006
gru,8,80,0.764,0.7652,0.8064,0.7994,0.7154,0.007000000000000006,0.04859999999999998
gru,8,81,0.7636,0.7639,0.8062,0.7999,0.713,0.006299999999999972,0.05059999999999998
gru,8,82,0.767,0.7691,0.8055,0.7976,0.7148,0.007900000000000018,0.052200000000000024
gru,8,83,0.7682,0.7628,0.8106,0.8022,0.7138,0.008399999999999963,0.054400000000000004
gru,8,84,0.7679,0.7659,0.8076,0.8024,0.7163,0.005199999999999982,0.05159999999999998
gru,8,85,0.7697,0.766,0.8088,0.8025,0.7144,0.006299999999999972,0.055300000000000016
gru,8,86,0.767,0.7655,0.8092,0.8017,0.7133,0.007500000000000062,0.05369999999999997
gru,8,87,0.7693,0.7659,0.8106,0.8029,0.7141,0.00770000000000004,0.05520000000000003
gru,8,88,0.7699,0.7664,0.8104,0.8043,0.7162,0.006099999999999994,0.05370000000000008
gru,8,89,0.769,0.7684,0.8124,0.8032,0.7132,0.009199999999999986,0.05580000000000007
gru,8,90,0.7674,0.7697,0.8117,0.8039,0.7157,0.007800000000000029,0.05169999999999997
gru,8,91,0.7698,0.7686,0.8123,0.803,0.716,0.009299999999999975,0.05380000000000007
gru,8,92,0.7696,0.767,0.8121,0.8045,0.7158,0.007600000000000051,0.05379999999999996
gru,8,93,0.7686,0.7683,0.8113,0.8037,0.7149,0.007600000000000051,0.05369999999999997
gru,8,94,0.7706,0.7683,0.8122,0.8044,0.7165,0.007800000000000029,0.054099999999999926
gru,8,95,0.7698,0.7687,0.8112,0.804,0.7155,0.007199999999999984,0.054300000000000015
gru,8,96,0.7696,0.7679,0.8115,0.8041,0.7174,0.007399999999999962,0.05219999999999991
gru,8,97,0.7702,0.7681,0.8106,0.8051,0.7179,0.005499999999999949,0.05230000000000001
gru,8,98,0.7703,0.7685,0.811,0.8044,0.7177,0.00660000000000005,0.05259999999999998
gru,8,99,0.7706,0.7683,0.8109,0.8047,0.7173,0.006199999999999983,0.0532999999999999
gru,8,100,0.7706,0.7683,0.8109,0.8047,0.7173,0.006199999999999983,0.0532999999999999
gru,16,1,0.3077,0.3211,0.3349,0.3219,0.3069,0.012999999999999956,0.0007999999999999674
gru,16,2,0.3976,0.4122,0.4495,0.4271,0.3957,0.02240000000000003,0.0019000000000000128
gru,16,3,0.4503,0.4858,0.5295,0.522,0.4595,0.007499999999999951,-0.009200000000000041
gru,16,4,0.5447,0.5204,0.5783,0.5809,0.4803,-0.0025999999999999357,0.06439999999999996
gru,16,5,0.5666,0.5385,0.5914,0.5933,0.5147,-0.0019000000000000128,0.051899999999999946
gru,16,6,0.6051,0.6058,0.636,0.6391,0.547,-0.0030999999999999917,0.05809999999999993
gru,16,7,0.6444,0.6226,0.6708,0.6746,0.576,-0.0038000000000000256,0.06840000000000002
gru,16,8,0.6502,0.6351,0.6806,0.6777,0.5776,0.0029000000000000137,0.0726
gru,16,9,0.675,0.6497,0.7044,0.7019,0.5861,0.0025000000000000577,0.08890000000000009
gru,16,10,0.6718,0.6532,0.6979,0.6953,0.6081,0.0025999999999999357,0.06369999999999998
gru,16,11,0.6874,0.6674,0.7143,0.7172,0.6052,-0.0028999999999999027,0.08220000000000005
gru,16,12,0.6947,0.6739,0.7266,0.7191,0.6119,0.007500000000000062,0.08279999999999998
gru,16,13,0.6953,0.6854,0.7214,0.7115,0.6263,0.00990000000000002,0.06900000000000006
gru,16,14,0.7083,0.6891,0.734,0.7324,0.6306,0.0015999999999999348,0.07769999999999999
gru,16,15,0.7093,0.69,0.7474,0.7422,0.6425,0.005199999999999982,0.06680000000000008
gru,16,16,0.7175,0.6859,0.7382,0.7401,0.6411,-0.0019000000000000128,0.07640000000000002
gru,16,17,0.7252,0.7035,0.7457,0.7483,0.6532,-0.0025999999999999357,0.07199999999999995
gru,16,18,0.7263,0.7092,0.7478,0.7563,0.6497,-0.008499999999999952,0.07659999999999989
gru,16,19,0.7182,0.706,0.758,0.7443,0.6601,0.013700000000000045,0.05809999999999993
gru,16,20,0.7269,0.7109,0.7636,0.7537,0.6531,0.009899999999999909,0.07379999999999998
gru,16,21,0.7359,0.7236,0.7656,0.7591,0.6617,0.00649999999999995,0.07420000000000004
gru,16,22,0.7256,0.7157,0.7617,0.7605,0.6608,0.0012000000000000899,0.06479999999999997
gru,16,23,0.742,0.7185,0.7695,0.7717,0.6698,-0.0022000000000000908,0.07220000000000004
gru,16,24,0.7363,0.719,0.77,0.7755,0.6695,-0.005499999999999949,0.06679999999999997
gru,16,25,0.7422,0.7221,0.7694,0.7778,0.6718,-0.008400000000000074,0.07040000000000002
gru,16,26,0.7413,0.7238,0.771,0.769,0.6751,0.0020000000000000018,0.06619999999999993
gru,16,27,0.7365,0.7274,0.7794,0.7683,0.6659,0.011099999999999999,0.0706
gru,16,28,0.7559,0.7315,0.7787,0.7844,0.6796,-0.005700000000000038,0.07630000000000003
gru,16,29,0.7469,0.7265,0.7727,0.7766,0.677,-0.0038999999999999035,0.06989999999999996
gru,16,30,0.7569,0.7394,0.7809,0.7799,0.688,0.0010000000000000009,0.06890000000000007
gru,16,31,0.7539,0.73,0.7755,0.7833,0.6762,-0.007800000000000029,0.07769999999999999
gru,16,32,0.7554,0.7432,0.7811,0.7818,0.6924,-0.0007000000000000339,0.06299999999999994
gru,16,33,0.7446,0.737,0.7874,0.7802,0.6882,0.007199999999999984,0.056400000000000006
gru,16,34,0.7586,0.7428,0.7844,0.7824,0.6925,0.0020000000000000018,0.06610000000000005
gru,16,35,0.766,0.7459,0.7962,0.786,0.693,0.010199999999999987,0.07300000000000006
gru,16,36,0.7521,0.7458,0.7848,0.7845,0.6847,0.000300000000000078,0.06740000000000002
gru,16,37,0.7664,0.7442,0.793,0.7885,0.695,0.0045000000000000595,0.07140000000000002
gru,16,38,0.7677,0.7487,0.7922,0.7907,0.6946,0.0015000000000000568,0.07310000000000005
gru,16,39,0.7597,0.7455,0.7904,0.783,0.6924,0.007399999999999962,0.06730000000000003
gru,16,40,0.7692,0.7479,0.7963,0.7969,0.7056,-0.0006000000000000449,0.06359999999999999
gru,16,41,0.7622,0.7488,0.7952,0.785,0.6943,0.010199999999999987,0.06789999999999996
gru,16,42,0.7754,0.7551,0.7985,0.7981,0.7023,0.00039999999999995595,0.07309999999999994
gru,16,43,0.7683,0.7483,0.7959,0.7968,0.6841,-0.0008999999999999009,0.08419999999999994
gru,16,44,0.7689,0.7537,0.8046,0.7961,0.696,0.008499999999999952,0.07290000000000008
gru,16,45,0.777,0.7577,0.8022,0.8047,0.7077,-0.0024999999999999467,0.06930000000000003
gru,16,46,0.7706,0.7524,0.7984,0.803,0.706,-0.0046000000000000485,0.06459999999999999
gru,16,47,0.7768,0.7488,0.8027,0.8057,0.7038,-0.0030000000000000027,0.07300000000000006
gru,16,48,0.7825,0.7604,0.8081,0.8057,0.7067,0.0024000000000000687,0.07579999999999998
gru,16,49,0.7801,0.7597,0.811,0.8041,0.7009,0.006900000000000017,0.07920000000000005
gru,16,50,0.7799,0.7562,0.8034,0.8035,0.7043,-9.999999999998899e-05,0.0756
gru,16,51,0.7794,0.767,0.8079,0.8013,0.7029,0.006599999999999939,0.07650000000000001
gru,16,52,0.7876,0.762,0.8068,0.811,0.706,-0.0042000000000000925,0.0816
gru,16,53,0.7827,0.7641,0.8047,0.8107,0.711,-0.006000000000000005,0.07169999999999999
gru,16,54,0.7865,0.7679,0.81,0.8079,0.7122,0.002100000000000102,0.07429999999999992
gru,16,55,0.7824,0.7615,0.8033,0.8095,0.7118,-0.006199999999999983,0.0706
gru,16,56,0.7834,0.762,0.8082,0.8018,0.7075,0.006400000000000072,0.07589999999999997
gru,16,57,0.7856,0.759,0.8102,0.8099,0.7133,0.000300000000000078,0.07229999999999992
gru,16,58,0.7843,0.7718,0.8146,0.8121,0.7114,0.0024999999999999467,0.07289999999999996
gru,16,59,0.787,0.7681,0.8147,0.813,0.7167,0.0017000000000000348,0.07030000000000003
gru,16,60,0.7878,0.7723,0.8104,0.8156,0.7158,-0.005199999999999982,0.07199999999999995
gru,16,61,0.7895,0.7681,0.8108,0.813,0.7146,-0.0021999999999999797,0.07489999999999997
gru,16,62,0.7913,0.771,0.8188,0.816,0.7174,0.0028000000000000247,0.07389999999999997
gru,16,63,0.7924,0.768,0.8147,0.8077,0.7143,0.007000000000000006,0.07809999999999995
gru,16,64,0.7928,0.7704,0.8123,0.811,0.7175,0.0012999999999999678,0.07529999999999992
gru,16,65,0.7937,0.7739,0.8148,0.815,0.718,-0.00019999999999997797,0.07569999999999999
gru,16,66,0.789,0.7693,0.814,0.8169,0.7159,-0.0029000000000000137,0.07310000000000005
gru,16,67,0.7983,0.7768,0.8176,0.8098,0.7205,0.007800000000000029,0.07779999999999998
gru,16,68,0.7962,0.7738,0.8188,0.8198,0.7201,-0.0010000000000000009,0.07610000000000006
gru,16,69,0.7948,0.7707,0.8153,0.8175,0.7169,-0.0021999999999999797,0.07789999999999997
gru,16,70,0.7963,0.7769,0.8153,0.817,0.7229,-0.0016999999999999238,0.07340000000000002
gru,16,71,0.7956,0.7744,0.8157,0.8179,0.7166,-0.0021999999999999797,0.07899999999999996
gru,16,72,0.7946,0.776,0.8188,0.8157,0.7254,0.0030999999999999917,0.06919999999999993
gru,16,73,0.7972,0.7741,0.8182,0.8198,0.7227,-0.0015999999999999348,0.07450000000000001
gru,16,74,0.8007,0.7766,0.824,0.8197,0.7229,0.0042999999999999705,0.07779999999999998
gru,16,75,0.799,0.7775,0.8207,0.8172,0.724,0.0034999999999999476,0.07500000000000007
gru,16,76,0.801,0.7782,0.8212,0.8213,0.7222,-9.999999999998899e-05,0.07880000000000009
gru,16,77,0.8017,0.7762,0.8217,0.8236,0.7275,-0.0019000000000000128,0.07419999999999993
gru,16,78,0.8014,0.7765,0.8211,0.8208,0.7253,0.000300000000000078,0.07610000000000006
gru,16,79,0.8001,0.775,0.8173,0.8221,0.7248,-0.0048000000000000265,0.07530000000000003
gru,16,80,0.8011,0.7788,0.8204,0.8229,0.7257,-0.0024999999999999467,0.07540000000000002
gru,16,81,0.8019,0.7795,0.8265,0.8188,0.7219,0.00770000000000004,0.07999999999999996
gru,16,82,0.8061,0.782,0.827,0.8246,0.7272,0.0023999999999999577,0.07890000000000008
gru,16,83,0.8048,0.7803,0.825,0.8251,0.7245,-9.999999999998899e-05,0.08029999999999993
gru,16,84,0.8036,0.783,0.8265,0.8264,0.7243,9.999999999998899e-05,0.07929999999999993
gru,16,85,0.7998,0.7786,0.8264,0.8263,0.7282,9.999999999998899e-05,0.0716
gru,16,86,0.804,0.7795,0.827,0.8211,0.7276,0.005899999999999905,0.07640000000000002
gru,16,87,0.8037,0.7821,0.8253,0.8256,0.7274,-0.00029999999999996696,0.07629999999999992
gru,16,88,0.8053,0.7824,0.8279,0.8247,0.7285,0.0031999999999999806,0.07679999999999998
gru,16,89,0.8054,0.7828,0.8267,0.8259,0.7258,0.0008000000000000229,0.0796
gru,16,90,0.8081,0.7818,0.8247,0.8291,0.7274,-0.0043999999999999595,0.0807
gru,16,91,0.8061,0.7837,0.8273,0.8283,0.7284,-0.0010000000000000009,0.07769999999999999
gru,16,92,0.8059,0.7819,0.8249,0.8264,0.729,-0.0015000000000000568,0.07689999999999997
gru,16,93,0.807,0.7836,0.8258,0.825,0.727,0.0008000000000000229,0.08000000000000007
gru,16,94,0.8064,0.7836,0.8267,0.8258,0.7278,0.0009000000000000119,0.0786
gru,16,95,0.8079,0.7829,0.8272,0.8265,0.7291,0.0007000000000000339,0.07879999999999998
gru,16,96,0.806,0.7842,0.8279,0.826,0.7276,0.0019000000000000128,0.07840000000000003
gru,16,97,0.8054,0.7833,0.8286,0.8261,0.727,0.0025000000000000577,0.07840000000000003
gru,16,98,0.8063,0.7833,0.8281,0.8263,0.7277,0.0017999999999999128,0.0786
