block_type,grid,variant,seed,micro_batch,accum_steps,epoch,lr,lr_scale,train_loss,train_acc,test_loss,test_acc,train_sec,eval_sec,epoch_wall_sec
gru,32,row,0,128,1,1,0.0002,0.2,2.0317303388546675,0.24427083333333333,1.9403270263671875,0.2801,14.80001593400084,1.443023458996322,16.243041193010868
gru,32,row,0,128,1,2,0.0004,0.4,1.8386816905095027,0.32243589743589746,1.7260667236328124,0.363,14.740410717990017,1.357655629995861,16.098068047998822
gru,32,row,0,128,1,3,0.0006,0.6,1.6496536328242375,0.38958333333333334,1.5676833740234375,0.4133,14.463049013997079,1.3450740650005173,15.808125679002842
gru,32,row,0,128,1,4,0.0008,0.8,1.5066672850877811,0.4506610576923077,1.3963375122070312,0.487,14.190278547001071,1.3373555940052029,15.5276361409924
gru,32,row,0,128,1,5,0.001,1.0,1.3718870221040187,0.5026041666666666,1.318989665222168,0.5267,14.53202893800335,1.6513610730034998,16.183393611005158
gru,32,row,0,128,1,6,0.000999726628670463,0.999726628670463,1.2550752804829524,0.5501001602564103,1.162554998779297,0.5832,14.849854090993176,1.5152882459951798,16.365145736999693
gru,32,row,0,128,1,7,0.0009989068136093873,0.9989068136093873,1.1539562341494438,0.5871995192307692,1.0637589195251465,0.6219,14.450896345006186,1.3947248559998116,15.845627700997284
gru,32,row,0,128,1,8,0.0009975414512725057,0.9975414512725057,1.0861647925315758,0.6116586538461538,1.0274893524169921,0.6358,14.136167043005116,1.3797854500007816,15.515955893002683
gru,32,row,0,128,1,9,0.0009956320346634876,0.9956320346634876,1.026791624380992,0.6332732371794871,0.98861019821167,0.6528,14.103993348006043,1.3249840929929633,15.428980341006536
gru,32,row,0,128,1,10,0.0009931806517013613,0.9931806517013612,0.9843330346621,0.6476161858974359,0.9448615257263183,0.6659,14.291680647991598,1.4222217530041235,15.713906600998598
gru,32,row,0,128,1,11,0.0009901899829374047,0.9901899829374047,0.9508287435922868,0.6613782051282051,0.9149824546813965,0.6734,14.478095135011245,1.3709171590016922,15.849015394007438
gru,32,row,0,128,1,12,0.000986663298624003,0.9866632986240029,0.91654794720503,0.6752203525641025,0.8713364707946777,0.695,14.721619856005418,1.4410540709941415,16.162679426997784
gru,32,row,0,128,1,13,0.0009826044551386743,0.9826044551386743,0.881776127142784,0.6864383012820513,0.8720683685302735,0.6987,14.183725992988911,1.3883437810000032,15.572073673989507
gru,32,row,0,128,1,14,0.0009780178907671788,0.9780178907671788,0.8539016430194561,0.6978365384615385,0.8068941398620606,0.7166,14.189607751992298,1.3393892899912316,15.529000941998675
gru,32,row,0,128,1,15,0.0009729086208503173,0.9729086208503173,0.834371602229583,0.7054887820512821,0.7924059326171875,0.7252,14.062704487994779,1.3421473979979055,15.404855786007829
gru,32,row,0,128,1,16,0.0009672822322997304,0.9672822322997304,0.8120383475071344,0.7127003205128205,0.7979714080810547,0.7181,14.176815662998706,1.3573824350023642,15.534204098003102
gru,32,row,0,128,1,17,0.0009611448774886924,0.9611448774886924,0.7953907113808852,0.7219551282051282,0.787932553100586,0.7226,14.565017585991882,1.4503687510004966,16.015391237000586
gru,32,row,0,128,1,18,0.0009545032675245813,0.9545032675245813,0.7744711761291211,0.7294070512820513,0.7767102210998535,0.7304,14.35953987800167,1.3815772980015026,15.74112447600055
gru,32,row,0,128,1,19,0.0009473646649103818,0.9473646649103817,0.7554800370564827,0.7360376602564103,0.7721050056457519,0.7359,14.281685282010585,1.4672999250033172,15.748989407002227
gru,32,row,0,128,1,20,0.0009397368756032445,0.9397368756032445,0.7472290141460223,0.7395833333333334,0.7428943027496338,0.7419,14.3609493690019,1.5147961110051256,15.875750780003727
gru,32,row,0,128,1,21,0.000931628240478787,0.931628240478787,0.7329530463768885,0.7447916666666666,0.744457823562622,0.7375,14.665205857992987,1.412977806001436,16.078188364001107
gru,32,row,0,128,1,22,0.0009230476262104677,0.9230476262104677,0.7236631188637171,0.7481570512820512,0.729900658416748,0.7449,14.490580773010151,1.3782089080050355,15.868795681002666
gru,32,row,0,128,1,23,0.00091400441557401,0.91400441557401,0.7089736171257801,0.7538862179487179,0.728802603149414,0.7489,14.664875111004221,1.478626993004582,16.143506603999413
gru,32,row,0,128,1,24,0.0009045084971874737,0.9045084971874737,0.6985726283146785,0.7562099358974359,0.7182311058044434,0.7507,14.626144289999502,1.358029697992606,15.984179787992616
gru,32,row,0,128,1,25,0.0008945702546981969,0.8945702546981968,0.6872326866174355,0.7619791666666667,0.7006621604919434,0.7583,15.014246762002585,1.4832984319946263,16.49755109399848
gru,32,row,0,128,1,26,0.0008842005554284296,0.8842005554284296,0.6761104663213094,0.7673677884615384,0.7463817924499512,0.7406,14.781234875001246,1.5646117169962963,16.345851392004988
gru,32,row,0,128,1,27,0.000873410738492077,0.873410738492077,0.6678016523520152,0.7676883012820512,0.7646850526809692,0.7353,14.76717558199016,1.4631174620008096,16.230299243994523
gru,32,row,0,128,1,28,0.0008622126023955446,0.8622126023955445,0.6604497019297038,0.7697716346153847,0.7018528087615967,0.7572,14.814477641004487,1.4735006219998468,16.287983463000273
gru,32,row,0,128,1,29,0.0008506183921362443,0.8506183921362442,0.6503787273779894,0.7745392628205128,0.6836668085098266,0.7619,14.838027942998451,1.443951733992435,16.281985377005185
gru,32,row,0,128,1,30,0.0008386407858128706,0.8386407858128706,0.6419003786949011,0.7756209935897436,0.6603997630119324,0.7679,16.21990558100515,2.15548211899295,18.375398599993787
gru,32,row,0,128,1,31,0.0008262928807620843,0.8262928807620843,0.6345521653309847,0.7768429487179487,0.6860657382965087,0.7653,15.747544892990845,1.5538490129983984,17.301401505988906
gru,32,row,0,128,1,32,0.0008135881792367685,0.8135881792367685,0.628581819549585,0.7816506410256411,0.6736837646484375,0.767,15.450905024001258,1.623036848002812,17.073950571997557
gru,32,row,0,128,1,33,0.0008005405736415125,0.8005405736415125,0.6186764616996814,0.7829927884615384,0.6592273914337158,0.7702,15.704839684010949,2.0327669010002865,17.7376150850032
gru,32,row,0,128,1,34,0.0007871643313414718,0.7871643313414718,0.6154372142675596,0.7858373397435897,0.6658838115692138,0.7706,15.509534859011183,1.635357393999584,17.144898053011275
gru,32,row,0,128,1,35,0.0007734740790612135,0.7734740790612136,0.6106939075084833,0.7863181089743589,0.6525321556091308,0.7756,15.46761867699388,1.6476396419893717,17.115266818989767
gru,32,row,0,128,1,36,0.0007594847868906076,0.7594847868906076,0.6043673169154388,0.7894030448717949,0.6554223240852356,0.7716,15.273316607010202,1.5515390500077046,16.82486425701063
gru,32,row,0,128,1,37,0.0007452117519152541,0.7452117519152541,0.5959454707610301,0.7944711538461539,0.6809354089736939,0.7665,15.54859137700987,1.6316208159987582,17.180218492998392
gru,32,row,0,128,1,38,0.000730670581489344,0.7306705814893439,0.5922161577603756,0.7942708333333334,0.6637794445037842,0.7716,15.166327572005684,1.4645069449907169,16.630840817000717
gru,32,row,0,128,1,39,0.0007158771761692464,0.7158771761692464,0.5862268978968644,0.7976161858974359,0.6558537780761718,0.7753,15.504777891997946,1.4706144149968168,16.975399806993664
gru,32,row,0,128,1,40,0.0007008477123264848,0.7008477123264848,0.5800946668936656,0.7983173076923077,0.6551333150863647,0.775,15.09099307798897,1.3818807839998044,16.47287946198776
gru,32,row,0,128,1,41,0.0006855986244591103,0.6855986244591104,0.5806406015004867,0.7987179487179488,0.6458995290756225,0.7789,14.345731656998396,1.3948395660117967,15.740576522992342
gru,32,row,0,128,1,42,0.0006701465872208216,0.6701465872208215,0.5712577712077361,0.8007612179487179,0.648151535987854,0.7755,14.471979131994885,1.422840068989899,15.89482620099443
gru,32,row,0,128,1,43,0.0006545084971874737,0.6545084971874737,0.5644934177398682,0.8039663461538461,0.6567722045898438,0.7771,14.309404416999314,1.3643399389984552,15.673749555993709
gru,32,row,0,128,1,44,0.0006387014543809223,0.6387014543809223,0.561597249446771,0.8057291666666667,0.6195456604957581,0.7859,14.233261305998894,1.410325949997059,15.643593856002553
gru,32,row,0,128,1,45,0.0006227427435703996,0.6227427435703996,0.554103313653897,0.8073317307692308,0.6428524862289429,0.7799,14.46842065799865,1.387117007994675,15.855543066005339
gru,32,row,0,128,1,46,0.0006066498153718734,0.6066498153718735,0.5537674529430193,0.8068309294871795,0.6624864332199096,0.7761,14.405962208998972,1.3787497149896808,15.784717324000667
gru,32,row,0,128,1,47,0.000590440267166055,0.590440267166055,0.5478036187398128,0.8108974358974359,0.6308341625213623,0.7823,14.272979247994954,1.3584265559911728,15.631411904003471
gru,32,row,0,128,1,48,0.000574131823855921,0.574131823855921,0.5455713297312076,0.8100160256410256,0.628301064491272,0.785,14.424168205005117,1.3692783279984724,15.793450932993437
gru,32,row,0,128,1,49,0.0005577423184847932,0.5577423184847932,0.5375122077189959,0.8137219551282051,0.6776151968955993,0.772,14.498097251998843,1.3822365570085822,15.880338208997273
gru,32,row,0,128,1,50,0.0005412896727361663,0.5412896727361662,0.5320153001791391,0.8161458333333333,0.6363819276809692,0.7886,15.21743032100494,1.7829699579888256,17.00040577900654
gru,32,row,0,128,1,51,0.0005247918773366112,0.5247918773366111,0.5335617905243849,0.8155448717948718,0.6287830821990967,0.7882,16.92410269199172,1.8083055239985697,18.7324140159908
gru,32,row,0,128,1,52,0.0005082669723831793,0.5082669723831793,0.5312488519228422,0.8165865384615385,0.614006189441681,0.7915,18.42054520700185,1.79472344199894,20.21527304900519
gru,32,row,0,128,1,53,0.0004917330276168208,0.49173302761682075,0.5240883297645129,0.8178886217948718,0.6063200902938842,0.7955,18.134302860999014,1.91365533300268,20.047965493999072
gru,32,row,0,128,1,54,0.0004752081226633888,0.4752081226633888,0.5186905941902062,0.8178084935897436,0.6142698363304138,0.7903,16.455971160001354,2.1219280040095327,18.57791046400962
gru,32,row,0,128,1,55,0.0004587103272638339,0.4587103272638339,0.5164019022232447,0.8218149038461539,0.6055205924510956,0.7907,16.49014305700257,1.7946397850028006,18.284790042001987
gru,32,row,0,128,1,56,0.00044225768151520694,0.44225768151520695,0.5143001544934053,0.8224358974358974,0.6185207692146302,0.7901,16.34333390199754,1.7827889649925055,18.12613146699732
gru,32,row,0,128,1,57,0.00042586817614407896,0.42586817614407896,0.5115139818344361,0.8219751602564103,0.601694360256195,0.7954,23.384707878009067,2.0036372390022734,25.388352817011764
gru,32,row,0,128,1,58,0.0004095597328339452,0.4095597328339452,0.5029493914964872,0.825400641025641,0.6109904779434204,0.7919,17.62184290100413,1.9672868039924651,19.589134905007086
gru,32,row,0,128,1,59,0.00039335018462812664,0.39335018462812665,0.49916345584086885,0.8271834935897436,0.5947939052581787,0.7972,16.77187552599935,2.102028973007691,18.87391789899266
gru,32,row,0,128,1,60,0.00037725725642960046,0.37725725642960045,0.49891262482374144,0.8272636217948718,0.6202431697845459,0.794,16.38967691300786,1.8269440310104983,18.21662774399738
gru,32,row,0,128,1,61,0.00036129854561907783,0.3612985456190778,0.49462531965512496,0.8294871794871795,0.599221498966217,0.7951,23.736059350005235,1.5742981160001364,25.310372766005457
gru,32,row,0,128,1,62,0.00034549150281252633,0.34549150281252633,0.4920873202574559,0.8283453525641026,0.6030829716205597,0.7997,14.936764293001033,1.4211650060024112,16.357935199004714
gru,32,row,0,128,1,63,0.0003298534127791785,0.32985341277917846,0.4855326828284141,0.8321514423076923,0.6130330707550049,0.7932,14.626411787001416,1.4390753659972688,16.06549275299767
gru,32,row,0,128,1,64,0.0003144013755408895,0.31440137554088954,0.4827503416018608,0.8323517628205128,0.5838282839775085,0.8027,14.530121456002234,1.359170481999172,15.889297938003438
gru,32,row,0,128,1,65,0.0002991522876735154,0.29915228767351537,0.47915023756332886,0.832792467948718,0.5923184345245361,0.7976,14.212411527012591,1.427575109002646,15.639996236001025
gru,32,row,0,128,1,66,0.0002841228238307536,0.2841228238307536,0.4768917168562229,0.8357371794871795,0.591561705493927,0.8012,14.659088656000677,1.371126619997085,16.0302208760113
gru,32,row,0,128,1,67,0.00026932941851065615,0.26932941851065617,0.4733646132242985,0.8372796474358974,0.5924082919597625,0.7995,14.193320846999995,1.3553408199950354,15.548667067007045
gru,32,row,0,128,1,68,0.0002547882480847461,0.2547882480847461,0.47371397836086077,0.8365785256410256,0.5890158475875854,0.7995,14.69088975500199,1.4221600079908967,16.113054663001094
gru,32,row,0,128,1,69,0.00024051521310939256,0.24051521310939256,0.46557106383335894,0.8400040064102564,0.5954079107284546,0.8028,14.292611035998561,1.3592280379962176,15.651845174012124
gru,32,row,0,128,1,70,0.00022652592093878665,0.22652592093878665,0.4644221569483097,0.8381610576923076,0.5930503682136535,0.8049,14.745875359003549,1.3573243790015113,16.103205338004045
gru,32,row,0,128,1,71,0.0002128356686585282,0.2128356686585282,0.4575199707960471,0.8427283653846154,0.5882497009277343,0.8028,14.317704246001085,1.3577920159877976,15.675501762001659
gru,32,row,0,128,1,72,0.00019945942635848747,0.19945942635848746,0.45527131641522434,0.8399238782051283,0.5777605056762696,0.8036,14.46610959401005,1.3691892670030938,15.8353046609991
gru,32,row,0,128,1,73,0.00018641182076323148,0.18641182076323148,0.45355762663560034,0.8422475961538461,0.5824675632476807,0.8065,14.437997451997944,1.3607262450095732,15.798728997004218
gru,32,row,0,128,1,74,0.00017370711923791565,0.17370711923791565,0.4476276176862228,0.844931891025641,0.5727611826896668,0.8095,14.217143490997842,1.355200663994765,15.572353055002168
gru,32,row,0,128,1,75,0.00016135921418712956,0.16135921418712956,0.4481747715136944,0.8461137820512821,0.5783152354240417,0.8047,14.536010759009514,1.4795790589996614,16.015596518001985
gru,32,row,0,128,1,76,0.00014938160786375572,0.1493816078637557,0.4468014209698408,0.8455729166666667,0.5749937067985534,0.8063,16.3836732669879,1.74283926699718,18.126520433987025
gru,32,row,0,128,1,77,0.00013778739760445552,0.13778739760445552,0.4434844683760252,0.8471153846153846,0.5705025666236877,0.8079,17.67823610700725,2.093355719000101,19.771600424995995
gru,32,row,0,128,1,78,0.0001265892615079232,0.1265892615079232,0.4438872246023936,0.8469350961538461,0.5800089510917663,0.8072,17.9319615939894,1.8693364149949048,19.801306108987774
gru,32,row,0,128,1,79,0.0001157994445715706,0.1157994445715706,0.43828461819734327,0.8490384615384615,0.5807099459648132,0.8057,16.5036892049975,1.8453896810096921,18.349086485992302
gru,32,row,0,128,1,80,0.00010542974530180327,0.10542974530180327,0.435347984234492,0.8505608974358975,0.5772161138534546,0.8037,16.286410936008906,1.7974502580036642,18.083869694004534
gru,32,row,0,128,1,81,9.549150281252633e-05,0.09549150281252633,0.435730133492213,0.8494791666666667,0.5747172284126282,0.8065,16.25574784699711,1.7995672120014206,18.05532255899743
gru,32,row,0,128,1,82,8.599558442598998e-05,0.08599558442598998,0.43147983570129445,0.8497596153846154,0.5810030714035034,0.8055,23.298243747005472,2.0314431309961947,25.329702478004037
gru,32,row,0,128,1,83,7.695237378953224e-05,0.07695237378953224,0.43070791501265304,0.85,0.5680335384368896,0.8096,16.8073685690033,1.7964835590100847,18.603858827991644
gru,32,row,0,128,1,84,6.837175952121305e-05,0.06837175952121305,0.4272622232253735,0.8510817307692308,0.5717460851669312,0.8082,16.420075693997205,1.7891128369956277,18.209196031006286
gru,32,row,0,128,1,85,6.026312439675552e-05,0.06026312439675552,0.42483169092581824,0.85390625,0.5705046188354492,0.8097,16.26142249700206,1.9724076290003723,18.233838825995917
gru,32,row,0,128,1,86,5.2635335089618264e-05,0.05263533508961826,0.4231506261688012,0.8540264423076923,0.5722245062828064,0.8093,22.73595116598881,2.4810314789938275,25.216993744994397
gru,32,row,0,128,1,87,4.5496732475418745e-05,0.045496732475418744,0.42065544716822795,0.8556089743589743,0.5717186318397522,0.81,17.65692384900467,1.8743822749966057,19.53132712400111
gru,32,row,0,128,1,88,3.885512251130763e-05,0.03885512251130763,0.4225599283591295,0.853886217948718,0.5695479291915894,0.8103,17.26611093399697,2.0761095479974756,19.34224808200088
gru,32,row,0,128,1,89,3.271776770026963e-05,0.03271776770026963,0.4180773657101851,0.8551682692307693,0.5677666226387024,0.8111,16.99189786000352,1.9039012610010104,18.89580962099717
gru,32,row,0,128,1,90,2.709137914968268e-05,0.02709137914968268,0.4188619552132411,0.8554086538461538,0.570222123336792,0.8093,17.182812922997982,1.7410914520005463,18.923912074998952
gru,32,row,0,128,1,91,2.198210923282118e-05,0.02198210923282118,0.4162447729936013,0.8560496794871795,0.5697272199630737,0.8101,16.965001264004968,1.9247201950056478,18.88973275900935
gru,32,row,0,128,1,92,1.7395544861325717e-05,0.017395544861325718,0.42002192773880104,0.8541266025641026,0.5680160480499268,0.81,16.923928600008367,1.9010091180098243,18.82494681800017
gru,32,row,0,128,1,93,1.3336701375997129e-05,0.013336701375997129,0.414817442267369,0.8575921474358974,0.5674567578315735,0.8126,16.919646754002315,1.9635003630100982,18.88315291699837
gru,32,row,0,128,1,94,9.810017062595322e-06,0.009810017062595322,0.4170069670830017,0.8551482371794872,0.5668334085464477,0.8108,17.652532754989807,1.941282230996876,19.593832385988208
gru,32,row,0,128,1,95,6.819348298638839e-06,0.006819348298638839,0.41512807531234547,0.8556490384615385,0.5668664394378662,0.8116,17.828533954001614,1.9908404540037736,19.819384507994982
gru,32,row,0,128,1,96,4.367965336512402e-06,0.004367965336512403,0.41332025310167897,0.8584334935897436,0.5669091750144959,0.8121,17.91325981299451,2.050745825996273,19.964013238000916
gru,32,row,0,128,1,97,2.458548727494292e-06,0.002458548727494292,0.41413456453726843,0.8589543269230769,0.566579070186615,0.8111,17.974676746991463,2.0416120890004095,20.016300735995173
gru,32,row,0,128,1,98,1.0931863906127326e-06,0.0010931863906127326,0.41426401207080255,0.8567908653846154,0.5661862837791443,0.8113,19.505685340991477,3.451162719997228,22.956863561004866
gru,32,row,0,128,1,99,2.733713295369755e-07,0.0002733713295369755,0.41218129148085914,0.8572115384615384,0.5662836668014526,0.8115,19.946044996002456,1.8820917260018177,21.82814692199463
gru,32,row,0,128,1,100,0.0,0.0,0.4113752210751558,0.8585136217948718,0.5662836668014526,0.8115,18.529840649003745,2.044274272004259,20.57412522099912
gru,32,shuffle_row,0,128,1,1,0.0002,0.2,2.017784617497371,0.25026041666666665,1.93066884765625,0.2858,18.246372018009424,1.9370804429927375,20.18346266100707
gru,32,shuffle_row,0,128,1,2,0.0004,0.4,1.8319364743354993,0.3248397435897436,1.7087137084960937,0.3678,18.066373251000186,1.9611050130042713,20.02748526399955
